"utm_hemisphere","utm_zone","area_utm_easting_meters","area_utm_northing_meters","context_number","find_number","material","category","director_notes","xmin"
"N",38,478130,4419430,1,1,"pottery","rim",,516
"N",38,478130,4419430,1,2,"pottery","rim",,516
"N",38,478130,4419430,1,3,"pottery","rim",,516
"N",38,478130,4419430,1,4,"pottery","base",,516
"N",38,478130,4419430,1,5,"pottery","rim",,516
"N",38,478130,4419430,1,6,"pottery","rim",,516
"N",38,478130,4419430,1,7,"pottery","spout",,6639
"N",38,478130,4419430,1,8,"pottery",,,6523
"N",38,478130,4419430,1,9,"pottery",,,6524
"N",38,478130,4419430,1,10,"pottery","body",,6637
"N",38,478130,4419430,1,11,"pottery",,,6526
"N",38,478130,4419430,1,12,"pottery",,,6527
"N",38,478130,4419430,1,13,"pottery",,,6528
"N",38,478130,4419430,1,14,"pottery",,,6529
"N",38,478130,4419430,1,15,"pottery",,,6530
"N",38,478130,4419430,1,16,"pottery",,,6531
"N",38,478130,4419430,1,17,"pottery",,,6532
"N",38,478130,4419430,1,18,"pottery",,,6533
"N",38,478130,4419430,1,19,"pottery",,,6534
"N",38,478130,4419430,1,20,"pottery",,,6535
"N",38,478130,4419430,1,21,"pottery",,,6536
"N",38,478130,4419430,1,22,"pottery",,,6537
"N",38,478130,4419430,1,23,"pottery",,,6538
"N",38,478130,4419430,1,24,"pottery",,,6539
"N",38,478130,4419430,1,25,"pottery",,,6540
"N",38,478130,4419430,1,26,"pottery",,,6541
"N",38,478130,4419430,1,27,"pottery",,,6542
"N",38,478130,4419430,1,28,"pottery",,,6543
"N",38,478130,4419430,1,29,"pottery",,,6544
"N",38,478130,4419430,1,30,"pottery",,,6545
"N",38,478130,4419430,1,31,"pottery",,,6546
"N",38,478130,4419430,1,32,"pottery",,,6547
"N",38,478130,4419430,1,33,"pottery",,,6548
"N",38,478130,4419430,1,34,"pottery",,,6549
"N",38,478130,4419430,1,35,"pottery",,,6550
"N",38,478130,4419430,1,36,"pottery",,,6551
"N",38,478130,4419430,1,37,"pottery",,,6552
"N",38,478130,4419430,1,38,"pottery",,,6553
"N",38,478130,4419430,1,39,"pottery",,,6554
"N",38,478130,4419430,1,40,"pottery",,,6555
"N",38,478130,4419430,1,41,"pottery",,,6556
"N",38,478130,4419430,1,42,"pottery",,,6557
"N",38,478130,4419430,1,43,"pottery",,,6558
"N",38,478130,4419430,1,44,"pottery",,,6559
"N",38,478130,4419430,1,45,"pottery",,,6560
"N",38,478130,4419430,1,46,"pottery",,,6561
"N",38,478130,4419430,1,47,"pottery",,,6562
"N",38,478130,4419430,1,48,"pottery",,,6563
"N",38,478130,4419430,1,49,"pottery",,,6564
"N",38,478130,4419430,1,50,"pottery",,,6565
"N",38,478130,4419430,1,51,"pottery",,,6566
"N",38,478130,4419430,1,52,"pottery",,,6567
"N",38,478130,4419430,1,53,"pottery",,,6568
"N",38,478130,4419430,1,54,"pottery",,,6569
"N",38,478130,4419430,1,55,"pottery",,,6570
"N",38,478130,4419430,1,56,"pottery",,,6571
"N",38,478130,4419430,1,57,"pottery",,,6572
"N",38,478130,4419430,1,58,"pottery",,,6573
"N",38,478130,4419430,1,59,"pottery",,,6574
"N",38,478130,4419430,1,60,"pottery",,,6575
"N",38,478130,4419430,1,61,"pottery",,,6576
"N",38,478130,4419430,1,62,"pottery",,,6577
"N",38,478130,4419430,1,63,"pottery",,,6578
"N",38,478130,4419430,1,64,"pottery",,,6579
"N",38,478130,4419430,1,65,"pottery",,,6580
"N",38,478130,4419430,1,66,"pottery",,,6581
"N",38,478130,4419430,1,67,"pottery",,,6582
"N",38,478130,4419430,1,68,"pottery",,,6583
"N",38,478130,4419430,1,69,"pottery",,,6584
"N",38,478130,4419430,1,70,"pottery",,,6585
"N",38,478130,4419430,1,71,"pottery",,,6586
"N",38,478130,4419430,1,72,"pottery",,,6587
"N",38,478130,4419430,1,73,"pottery",,,6588
"N",38,478130,4419430,1,74,"pottery",,,6589
"N",38,478130,4419430,1,75,"pottery",,,6590
"N",38,478130,4419430,1,76,"pottery",,,6591
"N",38,478130,4419430,1,77,"pottery",,,6592
"N",38,478130,4419430,1,78,"pottery",,,6593
"N",38,478130,4419430,1,79,"pottery",,,6594
"N",38,478130,4419430,1,80,"pottery",,,6595
"N",38,478130,4419430,1,81,"pottery",,,6596
"N",38,478130,4419430,1,82,"pottery",,,6597
"N",38,478130,4419430,1,83,"pottery",,,6598
"N",38,478130,4419430,1,84,"pottery",,,6599
"N",38,478130,4419430,1,85,"pottery",,,6600
"N",38,478130,4419430,1,86,"pottery",,,6601
"N",38,478130,4419430,1,87,"pottery",,,6602
"N",38,478130,4419430,1,88,"pottery",,,6603
"N",38,478130,4419430,1,89,"pottery",,,6604
"N",38,478130,4419430,1,90,"pottery",,,6605
"N",38,478130,4419430,1,91,"pottery",,,6606
"N",38,478130,4419430,1,92,"pottery",,,6607
"N",38,478130,4419430,1,93,"pottery",,,6608
"N",38,478130,4419430,1,94,"pottery",,,6609
"N",38,478130,4419430,1,95,"pottery",,,6610
"N",38,478130,4419430,1,96,"pottery",,,6611
"N",38,478130,4419430,1,97,"pottery",,,6612
"N",38,478130,4419430,1,98,"pottery",,,6613
"N",38,478130,4419430,1,99,"pottery",,,6614
"N",38,478130,4419430,1,100,"pottery",,,6615
"N",38,478130,4419430,1,101,"pottery",,,6616
"N",38,478130,4419430,1,102,"pottery",,,6617
"N",38,478130,4419430,1,103,"pottery",,,6618
"N",38,478130,4419430,1,104,"pottery",,,6619
"N",38,478130,4419430,1,105,"pottery",,,6620
"N",38,478130,4419430,1,106,"pottery",,,6621
"N",38,478130,4419430,1,107,"pottery",,,6622
"N",38,478130,4419430,1,108,"pottery",,,6623
"N",38,478130,4419430,1,109,"pottery",,,6624
"N",38,478130,4419430,1,110,"pottery",,,6625
"N",38,478130,4419430,1,111,"pottery",,,6626
"N",38,478130,4419430,1,112,"pottery",,,6627
"N",38,478130,4419430,1,113,"pottery",,,6628
"N",38,478130,4419430,1,114,"pottery",,,6629
"N",38,478130,4419430,1,115,"pottery",,,6630
"N",38,478130,4419430,1,116,"pottery",,,6631
"N",38,478130,4419430,1,117,"pottery",,,6632
"N",38,478130,4419430,1,118,"pottery",,,6633
"N",38,478130,4419430,1,119,"pottery",,,6634
"N",38,478130,4419430,2,1,"pottery","rim",,1988
"N",38,478130,4419430,2,2,"pottery","rim",,1990
"N",38,478130,4419430,3,1,"pottery","base",,1994
"N",38,478130,4419430,10,1,"pottery","spout",,2071
"N",38,478130,4419430,10,2,"pottery","base",,2077
"N",38,478130,4419430,11,1,"pottery","rim",,2099
"N",38,478130,4419430,11,2,"pottery","base",,2101
"N",38,478130,4419430,11,3,"pottery","rim",,2103
"N",38,478130,4419430,12,1,"pottery","rim",,2052
"N",38,478130,4419430,12,2,"pottery","rim",,2054
"N",38,478130,4419430,13,1,"pottery","base",,2116
