"utm_hemisphere","utm_zone","area_utm_easting_meters","area_utm_northing_meters","context_number","type","opening_date","closing_date","description","director_notes","xmin"
"N",38,478130,4419430,1,"topsoil mix",6/25/2019 0:00:00,6/27/2019 0:00:00,"northeast quadrant of beginning 4x4 trench, topsoil dug down about 50cm","Contained many medium-sized stones, which seem to be sloping down towards the northeast as if tumbling down from uphill.  A continuation of the stones that are slumping in contexts 3 and 5.  The slump is below wall context 6.  Context 1 ended when we came down upon white-coated gravel stones and then large pieces of pottery flattened on what was likely a surface.  The slump of stones must continue towards the northeast outside the trench.",523
"N",38,478130,4419430,2,"topsoil mix",6/25/2019 0:00:00,6/27/2019 0:00:00,"southwest quadrant of beginning 4x4 trench, topsoil dug down around the wall context 6, about 20-30cm","This context helped to clarify that context 6 was a wall.  Much interesting material was captured uphill (south) of wall 6.  North of wall 6 is basically more topsoil similar to contexts 1-5, though lacking the medium-sized stones of context 1.",523
"N",38,478130,4419430,3,"topsoil mix",6/27/2019 0:00:00,6/29/2019 0:00:00,"northwest quadrant of beginning 4x4 trench, topsoil dug down about 20-60cm","This context continued the topsoil mix and tumble of contexts 1 and 2.  To the east, context 3 had more medium-sized stone tumble as seen in 1 and 5.  To the west, we uncovered wall context 7, and in front of the wall was less stone tumble and more dirt.  Like context 1, this came down on flattened large pieces of pottery across the area, especially towards the north.  In the south, the bottom of context 2 was cleared to the top of what appeared to be a wall in the center of the trench, behind which was a loose red soil.  This context is probably a bit more mixed because it combines the upper and lower levels split by the potential wall in the middle of the trench.",2170
"N",38,478130,4419430,4,"topsoil mix",6/27/2019 0:00:00,6/29/2019 0:00:00,"southeast quadrant of beginning 4x4 trench, topsoil dug down about 20cm","This was a minor cleaning of the topsoil in the remainder of the trench.  It was closed relatively quickly because it was exposing more of wall context 6, which we knew to be a feature, and we did not want to take out too much soil south and uphill of that wall.  We also began to come down on more rock tumble to the north of context 6; this would be dug as context 5.",2012
"N",38,478130,4419430,5,"topsoil mix",6/29/2019 0:00:00,7/1/2019 0:00:00,"southeast quadrant of beginning 4x4 trench, topsoil mix and stones dug down about 40cm","This was the final clearing of topsoil that had remained in the center of the east side of the trench.  As we dug we also uncovered more medium-sized stone tumble, that seems even more dense.  In fact, we began to come down on some large-sized stones as well in the middle of this context.  This appears to be the densest part of the stone tumble, likely resulting from being above this potential wall in the center of the trench or because it is preserved on a high level of a lower big-stone wall.  Here we would later come down on very large stones probably part of the main city wall.  This is a mixed context since so near the surface, but should be important for understanding the features underneath.  This clearing included what was below the north side of context 4 as well as below the south side of context 1, bringing it down to the end level of context 1.",6261
"N",38,478130,4419430,6,"wall",7/2/2019 0:00:00,7/4/2019 0:00:00,"late reuse of large stone blocks to create what may be the lowest course of a wall","In some places there were two courses of stones stacked on stones.  This wall feels like a late and quickly built feature, that may not have had higher courses, or that may have had courses now collapsed, possibility into contexts 1, 3, and 5.  Iron and glass remains around this wall seem to indicate a medieval or later date.  Given that it is above the large storage jar, it is clearly a different and later horizon.",2166
"N",38,478130,4419430,7,"wall",7/2/2019 0:00:00,,"carefully built wall along the west edge of the trench, bottom row steps down from south to north","The wall uses squared medium-sized stones.  What's interesting is that it steps down where the possible wall in the center of the trench seems to approach it perpendicularly.  These two walls are hard to relate because the middle possible wall becomes less certain towards the west side.  Wall 7 should be relatively late and it is well preserved.  Wall 6 may have continued over wall 7, but was eroded away.",2006
"N",38,478130,4419430,8,"fill",7/2/2019 0:00:00,7/3/2019 0:00:00,"southwest corner of beginning 4x4 trench, fill between south baulk and wall context 6","This fill was captured from uphill by wall context 6, and helps us understand that wall's late date with the find of metal objects, including what appear to be iron nails.  This context was below the topsoil context 2, and ended at what appeared to be the bottom of context 6.  This context cleaned further east than context 2, cleaning also below context 4.  This represents the removal of all fill captured behind/uphill from context 6, and bounded by the south baulk.  Note that towards the east context 6 turns into the south baulk.",2149
"N",38,478130,4419430,9,"fill",7/2/2019 0:00:00,,"northwest corner of beginning 4x4 trench, dug down loose fill to east of wall context 7, came down on top of large pithos and other fragments flattened","This fill context was dug below topsoil context 3, but seems to continue the same type of loose fill found at the bottom of context 3.  This context helped to uncover more of wall context 7 to the west, and to clear some of the stones of what might have been a wall along the south side of 9 (middle of trench).  What was interesting about this context was that it came down onto a significant amount of large pithoi and other pottery fragments (to the north and east) and grinding stones (southwest), that appear to indicate this was an exposed surface upon which vessels were smashed and quickly covered.  This appears to be the same surface upon which context 7 was built.  In the northwest corner, a deeper area of large pithoi fragments was also found - mostly dug as a later context.  This potential surface was harder to trace towards the south, and may have been dug through.",6330
"N",38,478130,4419430,10,"fill",7/4/2019 0:00:00,7/5/2019 0:00:00,"southeast corner of beginning 4x4 trench, removal of fill and stones","This context contained a mix of fill and various size stones, including at least one large one.  The goal of this context was to understand the southeast corner of the beginning 4x4 trench.  Many rocks were removed to come down upon more of a dirt fill, that seems to be contained by the wall-like feature in the center of the trench.  Here we came down upon more reddish soil, similar to the bottom of context 3 to the west.  What is happening at this corner is unclear because of the intersection of several features, such as wall context 6, as well as the large stones below.",2153
